yearFrom,yearTo,Building Type,BuildingSubType,Country,WallDescription,ArchetypeDescription
1900,1964,Single Family House,Detached House ,Netherlands,"The wall construction of detached houses in the Netherlands has evolved significantly throughout the 20th and early 21st century, mainly driven by changes in construction technology, material availability, and increasingly strict energy regulations. Detached houses built between 1900 and the mid-1960s were predominantly constructed with monolithic masonry walls, most commonly solid brickwork. This construction method reflects the strong brick-building tradition in the Netherlands. External walls typically ranged from 20 to 35 cm in thickness and provided structural stability but limited thermal performance by modern standards. During the 1960s, many of these houses underwent renovations due to emerging energy regulations. Heating systems were often upgraded, and in some cases internal insulation was added. Occasionally, a second external wall layer was constructed to improve insulation and renew the façade. However, many of these buildings are protected under heritage legislation, which has preserved the original solid brick masonry and limited alterations to the exterior","Detached houses built up to and including 1964 represent 418,000 homes, representing 5.6% of the Dutch housing stock. Approximately 88% of these are owned by the resident, and approximately 12% are rented. Homes in this category often have 4 to 6 rooms spread over 2 to 4 floors. These homes often have a wooden ground floor. Original Energy Level: In the period up to and including 1964, no energy efficiency requirements were imposed on homes. Therefore, homes were not insulated. Cavity walls were not used until around 1930. Houses built before 1960 often had steel and softwood frames with single glazing. Many homes were equipped with local gas heaters, electric boilers, and natural ventilation during that period. Central heating was used on a limited scale. Current energy level: A large proportion of these homes have been retrofitted with insulation over the years. Almost all homes now have central heating with individual heat generation. The HR107 boiler is the most common (95%). A relatively small number of homes have a different generator (HR100 1%, electric heat pump 2%). For hot water, a gas-fired combination boiler is by far the most commonly used (94%), with some electric boilers (2%) and heat pumps (2%). Retrofitted insulation focuses on installing double glazing (49% of the glass surface) and HR++ glass (29%). 13% of the glass surface in these homes is still single-glazed. Retrofitted insulation of the solid sections is lacking. 58% of the solid facade sections are insulated, 47% of the floor area, 70% of the pitched roof, and 57% of the flat roof. The majority of homes have natural ventilation (90%). The remaining units have mechanical ventilation. Some of the homes are fitted with airtight seals."
1965,1974,Single Family House,Detached House ,Netherlands,"The wall construction of detached houses in the Netherlands has evolved significantly throughout the 20th and early 21st century, mainly driven by changes in construction technology, material availability, and increasingly strict energy regulations. In the post-war period, construction techniques shifted toward cavity wall systems. During this era, external walls typically consisted of an inner load-bearing layer made of lightweight concrete or lightweight brick, an uninsulated cavity of approximately 8 cm, and an outer façade layer of about 5 cm thick brickwork. The outer layer was often made of brick, sand-lime brick, or lightweight brick, with occasional use of wooden panels. This construction period followed the Model Bouwverordening (MBV) 1965, which standardized building practices but still placed limited emphasis on thermal insulation. ","Detached houses built between 1965 and 1974 represent 128,500, representing 1.7% of the Dutch housing stock. Homes from this period are all owned by the resident. The homes in this category often have 4 to 6 rooms, spread over 2 to 4 floors. These houses are often traditionally built with load-bearing walls of sand-lime brick and concrete floors. Original Energy Level: Since 1965, requirements have been imposed on the energy quality of homes. However, by current new construction standards, these homes were not very well insulated. Natural ventilation was used to ventilate these homes. Central heating has been increasingly used in this type of home over the years. Current energy level: Some of these homes have been energy-efficiently upgraded over the years. All homes from this period have central heating with individual heat generation. The HR107 boiler is the most common (89%). A smaller proportion of homes have a CR boiler (6%) or an electric heat pump (3%). In addition to gas-fired combination boilers (85%), electric boilers (4%), various types of kitchen heaters or water heaters (9% in total), and heat pumps (2%) are also used for hot water production. Regarding retrofitting, the focus is on installing double glazing (58% of the glass surface) and HR++ glass (24%). Retrofitting of solid sections lags behind slightly. 73% of the solid facade sections are insulated, 35% of the floor area, 76% of the pitched roof, and 57% of the flat roof. The majority of homes have natural ventilation (84%). The remaining portion has mechanical extraction (14%) or balanced ventilation (3%). Some of the homes are equipped with airtight sealing."
1975,1991,Single Family House,Detached House ,Netherlands,"The wall construction of detached houses in the Netherlands has evolved significantly throughout the 20th and early 21st century, mainly driven by changes in construction technology, material availability, and increasingly strict energy regulations. From the mid-1970s onward, energy efficiency became a more prominent concern. Cavity walls and multilayer wall systems remained the dominant construction method, but insulation was increasingly added within the cavity. Inner walls were typically constructed from precast concrete or brick masonry, while the outer façade remained a thin brick layer of approximately 5 cm. The cavity was usually filled with EPS (expanded polystyrene) or glass wool insulation, commonly between 5 and 8 cm thick. Façade materials included sand-lime brick, lightweight brick, and occasionally wooden cladding.","Detached houses built between 1975 and 1991 represent 201,000 homes, representing 2.7% of the Dutch housing stock. The majority, 95%, are owned by the residents, and approximately 5% are rented. Homes in this category often have 4 to 7 rooms spread over 2 to 4 floors. More than half of the homes have three floors. These homes are often traditionally built, but the diversity of these homes is increasing. Original energy level: The energy quality requirements for new-build homes were increased in 1975 (Rc 1.3 m²K/W for roof and solid facade), in 1979 (double glazing in living areas), in 1983 (Rc 1.3 m²K/W ground floor), and in 1988 (Rc 2.0 m²K/W for roof and solid facade). Houses from the first part of this period, in particular, were not very well insulated by current new-build standards. The homes were primarily naturally ventilated. Central heating has become increasingly common over the years. Current energy level: All homes have central heating with individual heat generation. The high-efficiency boiler is the most common (HR107 86% and HR100 6%). A small percentage of homes are heated locally with electricity (3%) or have a heat pump (2%). In addition to combination boilers (91%), electric boilers (4%) and gas water heaters (5%) are also used for hot water production. Double glazing is prevalent (66% of the glass surface). Some of the glass surface of these homes has been upgraded to HR++ glass (20% of the glass surface). Single glazing is still present to a limited extent (4%). Detached homes built after this period no longer have single glazing. All solid facades are insulated, although the insulation level is generally not very high. A large portion of the floors (80%) and roofs (89% sloped, 55% flat) are insulated. Most of the homes have natural ventilation (78%). The remainder have mechanical ventilation (21%). The homes are equipped with airtight seals."
1992,2005,Single Family House,Detached House ,Netherlands,"The wall construction of detached houses in the Netherlands has evolved significantly throughout the 20th and early 21st century, mainly driven by changes in construction technology, material availability, and increasingly strict energy regulations. This period followed the introduction of the Bouwbesluit 1992, which significantly raised insulation requirements for walls and other building elements. Detached houses were mainly constructed using multilayer or cavity wall systems with improved thermal performance.
Typical wall assemblies consisted of a thicker load-bearing inner brick layer (approximately 15–22 cm), followed by an insulation layer of 5–8 cm made of EPS or glass wool. The exterior façade layer could be composed of brick, sand-lime brick, brick panels, or wooden cladding. Overall wall thickness and thermal resistance increased compared to earlier periods.","Detached houses built between 1992 and 2005 represent 196,000 homes, representing approximately 2.6% of the Dutch housing stock. Homes from this period are all owned by the resident. Homes in this category often have 4 to 7 rooms, spread over 2 to 4 floors. The period 1992 to 2005 was characterized by the rise of timber-frame construction and catalog construction for detached houses. However, most were built traditionally with load-bearing walls of sand-lime brick and concrete floors. Original energy level: Houses from this period are well insulated. In 1992, insulation requirements were raised, requiring double glazing and insulation of the facade, floor, and roof (Rc 2.5 m²K/W). High-efficiency boilers were widely used for heating homes. Mechanical ventilation with an extractor fan also gained attention. Current energy level: All homes have central heating with individual heat generation. The high-efficiency boiler is the most common (HR107 89%, HR100 6%, and HR104 2%). In addition to combination boilers (94%), electric boilers (3%) and gas water heaters (2%) are used very rarely for hot water production. Heat pumps account for 1%. None of the detached homes in this period still have single glazing. The glazing is divided between double glazing (39% of the glass surface), high-efficiency glass (16%), high-efficiency glass (10%), and high-efficiency glass (34%). All solid facades, floors, and roofs are insulated, with the insulation level meeting at least the requirements of the construction period (Rc 2.5 m²K/W). The majority of homes are equipped with mechanical ventilation (65%) or natural ventilation (24%). Balanced ventilation is becoming increasingly popular (11%). All homes are equipped with airtight seals."
2006,2014,Single Family House,Detached House ,Netherlands,"The wall construction of detached houses in the Netherlands has evolved significantly throughout the 20th and early 21st century, mainly driven by changes in construction technology, material availability, and increasingly strict energy regulations. Construction practices during this period largely continued the trends established between 1992 and 2005, in line with later revisions of the Bouwbesluit (notably the 2012 revision). Wall systems remained primarily cavity or multilayer constructions, with similar material compositions but improved detailing, airtightness, and thermal performance.","Detached houses built between 2006 and 2014 represent 66,000 homes, representing approximately 0.9% of the Dutch housing stock. Homes from this period are all owned by the resident. Homes in this category often have 4 to 7 rooms, spread over 2 to 4 floors. Detached houses from 2006 to 2014 were also mostly built traditionally (load-bearing walls with sand-lime brick and concrete floors) and, on a modest scale, using timber framing. Original energy level: The houses from this period are well insulated. Between 2006 and 2014, the EPC requirement was tightened from 1.0 to 0.6. This means that houses in this period the insulation needs to be improved during this period. High-efficiency boilers were widely used for heating homes. Balanced ventilation was also a priority. Current energy level: All homes have central heating with individual heat generation (97%), and a small proportion rely on third-party heat supply (3%). The HR107 boiler is the most common (89%). Some homes have a heat pump (8%) or are connected to district heating (third-party heat supply 3%) for both space heating and hot water. Almost all homes have HR++ glass (94%). All solid facades, floors, and roofs are insulated, with the insulation level meeting at least the requirements from the construction period (Rc 2.5 m²K/W). The majority of homes are equipped with balanced ventilation (51%) or mechanical ventilation (45%). Natural ventilation is only present in 2% of homes. All homes are fitted with airtight sealing."
2015,2018,Single Family House,Detached House ,Netherlands,"The wall construction of detached houses in the Netherlands has evolved significantly throughout the 20th and early 21st century, mainly driven by changes in construction technology, material availability, and increasingly strict energy regulations. In this most recent period, wall construction types did not change fundamentally. Detached houses continued to use cavity wall or multilayer systems. The main differences lie in the use of higher-performance insulation materials and better thermal conductivity values, driven by stricter energy efficiency standards and sustainability goals. Improved construction quality, reduced thermal bridging, and increased attention to airtightness characterise this era.","The detached houses built between 2015 and 2018 represent 31,000 homes, approximately 0.4% of the Dutch housing stock. Homes from this period are all owned by the resident. The homes in this category often have 4 to 7 rooms spread over 2 to 5 floors. Over 46% of the homes have three floors, and 31% have five floors. The quality and luxury of the homes increased significantly during this period. Heating costs for these homes are low. In addition, the homes are built with low-maintenance building materials. The architecture and construction methods vary widely, from 1930s styles (brick and overhanging pitched roofs) to ultra-modern (extensive glass, metal, and flat roofs). Original energy level As of April 1, 2012, the Building Decree increased the minimum Rc value (thermal resistance) of floors, facades, and roofs of new buildings from 2.5 to 3.5 m2.K/W. Subsequently, on March 1, 2013, the maximum U-value of windows was tightened from 2.2 to 1.65 W/m2.K. As of January 1, 2015, the minimum Rc value was further tightened to 3.5 for floors, 4.5 for facades and 6.0 for roofs. This means that homes built between 2015 and 2018 have seen a significant increase in insulation levels. Solar panels are also sometimes installed during construction. With the introduction of Nearly Energy Neutral Buildings (BENG), it is mandatory to equip new homes with a sustainable energy generation system. Natural gas-free construction became the norm on July 1, 2018. Current energy level: The vast majority of homes have central heating with individual heat generation (89%) and increasingly, third-party heat supply (11%). The HR107 boiler is still common (36%), but an electric heat pump is increasingly being chosen (53%). A small percentage of homes are connected to district heating (third-party heat supply 11%). The same distribution is used for hot water production. Almost all homes have HR++ glazing (89%). We are also seeing an increasing use of triple glazing (11%). All solid facade sections are insulated, with an insulation level that at least meets current requirements. The majority of homes are equipped with mechanical ventilation (85%). Balanced ventilation is also used (4%), or mechanical ventilation with heat recovery and CO2 control (11%). Natural ventilation is no longer used. All homes are equipped with airtight seals. "
1900,1964,Single Family House,Semi Detached House,Netherlands,"The wall construction of semi-detached houses in the Netherlands closely follows the same technological and regulatory developments as detached houses. Differences are mainly found in structural layouts and shared party walls, rather than in external wall construction. Over time, changes in materials, prefabrication methods, and energy regulations strongly influenced wall design. 1900–1964: Solid masonry and early post-war systems. Semi-detached houses built before and shortly after the Second World War were predominantly constructed using solid masonry walls and cavity wall systems, typically in brick. This reflects traditional Dutch construction practices, with external walls usually ranging between 20 and 30 cm in thickness. Thermal insulation was generally absent. In the immediate post-war years, increasing housing demand led to the introduction of more industrialized construction methods. Precast concrete elements, steel frame constructions, and standardized building components were increasingly used, particularly in larger housing developments. External walls often consisted of structural concrete or masonry with brick cladding, but insulation levels remained low or nonexistent.","Semi-detached houses built up to and including 1964 represent approximately 4.4% of the Dutch housing stock, comprising 330,000 homes. Of these, 80% are owned by the resident, and 20% are rented. The homes in this category often have 4 to 5 rooms spread over 2 to 4 floors. Half of the homes have two floors. These homes often have high-ceilinged rooms on the ground floor and a wooden ground floor. These wooden ground floors were common in this type of home until the late 1970s. Original Energy Level: Until 1965, no energy efficiency requirements were imposed on homes. Therefore, the homes were not insulated. Cavity walls were not used until around 1930. Homes built before 1960 often had steel window frames and softwood window frames with single glazing. Many homes at that time were equipped with local gas heaters, electric boilers, and natural ventilation. Central heating was used on a limited scale. Current energy level: Some of these homes have been energy-efficiently upgraded over the years. All homes now have central heating with individual heat generation. The HR107 boiler is the most common (88%). A small percentage of homes have a VR boiler (3%) or a local gas or oil heater (4%). In addition to combination boilers (93%), gas bath or kitchen water heaters (5%) and occasionally heat pumps (1%) are also used for hot water production. Post-insulation focuses on installing double glazing (52% of the glass surface) and HR++ glass (25%). A substantial portion of single glazing remains (15%). Post-insulation of the sealed sections lags behind. Of the solid facade sections, 49% are insulated, of the floor area 40%, of the pitched roof 68%, and of the flat roof 59%. Most of the homes have natural ventilation (89%). The remainder primarily have mechanical ventilation (9%). Some of the homes are equipped with airtight sealing. "
1965,1974,Single Family House,Semi Detached House,Netherlands,"The wall construction of semi-detached houses in the Netherlands closely follows the same technological and regulatory developments as detached houses. Differences are mainly found in structural layouts and shared party walls, rather than in external wall construction. Over time, changes in materials, prefabrication methods, and energy regulations strongly influenced wall design. 1964–1974: Early cavity walls and minimal insulation (MBV 1965). During this period, semi-detached houses continued to use construction methods similar to those of the preceding years, but with gradual improvements following the Model Bouwverordening (MBV) 1965. Wall systems typically consisted of cavity walls or prefabricated concrete panels with brick cladding. Limited insulation was introduced for the first time, usually in the form of mineral wool with a thickness of approximately 3–5 cm placed within the cavity. Despite this improvement, thermal performance remained modest by later standards. Brick remained the dominant façade material.","Semi-detached houses built between 1965 and 1974 represent 101,500 homes, representing 1.4% of the Dutch housing stock. Of these, 94% are owned by the resident, and 6% are rented. Homes in this category often have 4 to 5 rooms spread over 3 floors.
These houses are often traditionally built with load-bearing walls of sand-lime brick and concrete floors. Original Energy Level: Since 1965, requirements have been imposed on the energy quality of homes. However, by current new construction standards, these homes were not very well insulated. Natural ventilation was used to ventilate these homes. Central eating has become increasingly common in this type of home over the years. Current energy level: Some of these homes have been energy-efficiently upgraded over the years. All homes now have central heating with individual heat generation. The high-efficiency combi boiler is the most common (HR107 87% and HR100 4%). A smaller proportion of homes have a VR boiler (9%). Only gas combi boilers are used for hot water production.
When retrofitting insulation, the focus is on installing double glazing (57% of the glass surface) and HR++ glass (31%). Retrofitting insulation to the solid sections is lacking. 77% of the solid facade sections are insulated, 42% of the floor area, 76% of the pitched roof, and 61% of the flat roof. The majority of homes have natural ventilation (92%). The remainder have mechanical ventilation (8%). More and more homes are equipped with airtight sealing.
General"
1975,1991,Single Family House,Semi Detached House,Netherlands,"The wall construction of semi-detached houses in the Netherlands closely follows the same technological and regulatory developments as detached houses. Differences are mainly found in structural layouts and shared party walls, rather than in external wall construction. Over time, changes in materials, prefabrication methods, and energy regulations strongly influenced wall design. 1974–1991: Insulated cavity and multilayer walls. From the mid-1970s onward, energy efficiency became a more prominent design consideration. Semi-detached houses from this period were mainly constructed using cavity wall or multilayer systems similar to those used in detached houses. The inner load-bearing wall was typically made of precast concrete or brick masonry, while the outer façade consisted of a thin brick layer. The cavity was incrsingly filled with insulation materials such as EPS or glass wool, generally ranging from 5 to 8 cm in thickness. Wooden façade panels were occasionally used, particularly in suburban developments.","Semi-detached houses built between 1975 and 1991 represent 217,000 homes, representing 2.9% of the Dutch housing stock. Of these, 93% are owned by the resident, and 7% are rented.Homes in this category often have 4 to 6 rooms spread over 3 floors. These homes are often traditionally built, but the diversity of these types is increasing. Original Energy Level: The energy quality requirements for new-build homes were increased in 1975 (Rc 1.3 m²K/W for roof and solid facade), in 1979 (double glazing in the living area), in 1983 (Rc 1.3 m²K/W ground floor), and in 1988 (Rc 2.0 m²K/W for roof and solid facade). Houses from the early part of this period, in particular, were not very well insulated by current new construction standards.
Homes were primarily naturally ventilated. Central heating became increasingly common over the years. Notably, during this construction period, the energy requirements for social housing were higher than those of other housing types. For example, social housing units were required to have double glazing in the living areas since 1975. Nevertheless, double glazing was widely used in all units. Furthermore, in many units, the floor insulation, in particular, was better than required. Central heating with a VR boiler was widely used.
Current energy level: All units have central heating with individual heat generation. The HR107 combination boiler is the most common (96%). A small percentage of units have a heat pump (1%) or are connected to district heating (third-party heat supply: 1%). Besides combination boilers (96%), virtually no other appliances, such as gas boilers or kitchen water heaters, are used for hot water production. The proportion of double glazing is high (59% of the glass surface). A small portion of the glass surface in these units is still single glazing (6% of the glass surface). The share of HR++ glass has increased to 27%. Almost all solid facade sections are insulated, although the insulation level is generally not very high. The majority of homes have natural ventilation (59%). The remainder primarily have mechanical ventilation (40%). The homes are equipped with airtight seals."
1992,2005,Single Family House,Semi Detached House,Netherlands,"The wall construction of semi-detached houses in the Netherlands closely follows the same technological and regulatory developments as detached houses. Differences are mainly found in structural layouts and shared party walls, rather than in external wall construction. Over time, changes in materials, prefabrication methods, and energy regulations strongly influenced wall design. 1992–2005: Improved insulation under Bouwbesluit 1992. The introduction of the Bouwbesluit 1992 marked a significant step toward higher energy performance standards. Semi-detached houses from this period show improved wall assemblies with greater insulation thickness and better thermal detailing. Wall constructions typically consisted of a load-bearing inner wall (approximately 15–22 cm thick) made of brick or concrete, followed by an insulation layer of EPS or glass wool (5–8 cm), and an external façade layer of brick, sand-lime brick, brick panels, or wooden cladding. Overall, wall thickness and thermal resistance increased substantially.","Semi-detached houses built between 1992 and 2005 represent 152,000 homes, representing 2% of the Dutch housing stock. Of these, 93% are owned by the resident, and 7% are rented. Homes in this category often have 4 to 6 rooms spread over 3 floors. Most homes in this category are traditionally built. Prefabricated construction is increasingly being used, and catalog homes are a good example. Original energy level: Homes from this period are well insulated. In 1992, insulation requirements were raised, making double glazing and insulation of the facade, floor, and roof (Rc 2.5 m²K/W) commonplace. A high-efficiency boiler was installed for heating the home. Widely used. Attention was also given to mechanical ventilation of the home with an extractor fan. Current energy level: All homes have central heating with individual heat generation. The HR107 combination boiler is the most common (94%). A limited number of homes have a VR boiler (4%) or are connected to district heating (third-party heat supply 1%). Besides combination boilers (98%), virtually no other appliances such as electric boilers, gas boilers, or kitchen water heaters are used for hot water production. Half of the homes have double glazing (51% of the glass surface). Furthermore, HR glass (10%), HR+ glass (14%), and HR++ glass (23%) are frequently used. Single glazing is no longer present. All solid facade sections are insulated, with an insulation level that at least meets current requirements (Rc 2.5 m²K/W). The majority of homes have mechanical ventilation (69%). In addition, natural ventilation is used (21%), and balanced ventilation is becoming increasingly common (10%). All homes are equipped with airtight seals.
"
